date,side,direction,tier_lbl,tiers,gap_regime,gap_pct,touch_num,touch_lbl,level_px,ep,mfe15,mfe30,mfe60,hit_+0.50%,hit_+0.75%
2025-12-16,long,sup,T1 only,[1],Flat,-0.419,1,1st,608.16,609.8,0.20513283043620884,0.4411282387668178,0.4411282387668178,False,False
2025-12-16,long,sup,T1 only,[1],Flat,-0.419,2,2nd,608.16,608.78,0.5404251125201349,0.6094155524163141,0.6094155524163141,True,False
2025-12-16,long,sup,T1 only,[1],Flat,-0.419,3,3rd+,608.16,609.29,0.057443910124903214,0.10832280194982388,0.27162763216203883,False,False
2025-12-16,long,sup,T1 only,[1],Flat,-0.419,4,3rd+,608.16,609.02,0.15270434468491406,0.31608157367575257,0.31608157367575257,False,False
2025-12-16,long,sup,T1 only,[1],Flat,-0.419,5,3rd+,608.16,608.41,0.4166598182147042,0.4166598182147042,0.4166598182147042,False,False
2025-12-16,long,sup,T1 only,[1],Flat,-0.419,6,3rd+,608.16,608.94,0.0706145104607925,0.0706145104607925,0.3629257398101492,False,False
2025-12-16,short,res,T1 only,[1],Flat,-0.419,1,1st,611.63,610.35,0.014745637748837852,0.25393626607683784,0.5537806176783805,False,False
2025-12-16,short,res,T1 only,[1],Flat,-0.419,2,2nd,611.63,610.5,0.26699426699426626,0.43079443079443,0.43407043407043033,False,False
2025-12-16,short,res,T1 only,[1],Flat,-0.419,3,3rd+,611.63,610.51,0.3488886340928069,0.4357012989140175,0.4357012989140175,False,False
2025-12-16,short,res,T1 only,[1],Flat,-0.419,4,3rd+,611.63,610.69,0.20796148618777047,0.29147357906631616,0.5436473497191783,False,False
2025-12-17,long,sup,T1 only,[1],Flat,0.272,1,1st,606.91,607.79,0.07403873048257548,0.07403873048257548,0.07403873048257548,False,False
2025-12-18,short,res,T1 only,[1],Gap Up,1.424,1,1st,613.65,612.7,0.141994450791579,0.2260486371796949,0.688754692345361,False,False
2025-12-18,short,res,T1 only,[1],Gap Up,1.424,2,2nd,613.65,612.43,0.18206162336918433,0.18206162336918433,0.8033571183645412,False,False
2025-12-18,short,res,T1 only,[1],Gap Up,1.424,3,3rd+,613.65,612.71,0.07018001991155091,0.5842894681007395,0.8486886128837533,True,False
2025-12-18,short,res,T1 only,[1],Gap Up,1.424,4,3rd+,613.65,612.599,0.07982383255604934,0.714823236733984,0.8307228709155672,True,False
2025-12-18,short,res,T1 only,[1],Gap Up,1.424,1,1st,609.75,608.75,0.05749486652977786,0.2480492813141669,0.2480492813141669,False,False
2025-12-18,short,res,T1 only,[1],Gap Up,1.424,2,2nd,609.75,608.81,0.006570194313490847,0.006570194313490847,0.006570194313490847,False,False
2025-12-23,long,sup,T1 only,[1],Flat,-0.211,1,1st,617.43,617.99,0.20065049596271928,0.31230278807099626,0.43366397514522076,False,False
2025-12-23,long,sup,T2+T3,"[2, 3]",Flat,-0.211,1,1st,619.42,620.4,0.03384912959381631,0.05641521598968774,0.14667956157317347,False,False
2025-12-23,long,sup,T2+T3,"[2, 3]",Flat,-0.211,2,2nd,619.42,620.34,0.1402456717284077,0.15636586388108353,0.15958990231163703,False,False
2025-12-23,short,res,T1 only,[1],Flat,-0.211,1,1st,621.65,620.68,0.0,0.0,0.0,False,False
2025-12-30,long,sup,T1 only,[1],Flat,-0.171,1,1st,618.73,619.78,0.31785472264352305,0.31785472264352305,0.31785472264352305,False,False
2025-12-30,long,sup,T1 only,[1],Flat,-0.171,2,2nd,618.73,619.85,0.11194643865451077,0.11194643865451077,0.26942002097280937,False,False
2025-12-30,long,sup,T1+T2+T3,"[1, 2, 3]",Flat,-0.171,1,1st,620.86,621.835,0.0024122154590826114,0.0024122154590826114,0.0024122154590826114,False,False
2025-12-31,short,res,T1 only,[1],Flat,0.008,1,1st,620.38,619.37,0.3291731921145741,0.3291731921145741,0.37780325169123974,False,False
2026-01-06,long,sup,T1+T2+T3,"[1, 2, 3]",Flat,0.244,1,1st,618.45,619.18,0.43767563551794897,0.5281178332633638,0.5507283826997129,True,False
2026-01-06,long,sup,T1+T2+T3,"[1, 2, 3]",Flat,0.244,2,2nd,618.45,619.52,0.19368220557852378,0.23243801652893442,0.25826446280992105,False,False
2026-01-06,short,res,T1 only,[1],Flat,0.244,1,1st,620.81,619.77,0.19846071929909775,0.19846071929909775,0.19846071929909775,False,False
2026-01-06,short,res,T1 only,[1],Flat,0.244,2,2nd,620.81,619.9,0.013356993063400581,0.013356993063400581,0.013356993063400581,False,False
2026-01-06,short,res,T1 only,[1],Flat,0.244,3,3rd+,620.81,620.15,0.056437958558416955,0.056437958558416955,0.0628880109650869,False,False
2026-01-07,long,sup,T1 only,[1],Flat,-0.099,1,1st,622.29,623.49,0.23897736932428892,0.26624324367671787,0.3528524916197606,False,False
2026-01-07,long,sup,T2+T3,"[2, 3]",Flat,-0.099,1,1st,623.89,624.03,0.30126756726439363,0.3589571014214075,0.36536704966106964,False,False
2026-01-09,long,sup,T1+T2+T3,"[1, 2, 3]",Flat,0.097,1,1st,620.74,620.795,0.27786950603661803,0.3116970980758639,0.7321257419921348,False,False
2026-01-09,long,sup,T1+T2+T3,"[1, 2, 3]",Flat,0.097,2,2nd,620.74,621.885,0.10210891081148298,0.37547134920444075,0.5555689556750911,False,False
2026-01-09,long,sup,T1+T2+T3,"[1, 2, 3]",Flat,0.097,3,3rd+,620.74,621.34,0.22210062123796884,0.5987060224675562,0.6437699166317957,True,False
2026-01-09,short,res,T1 only,[1],Flat,0.097,1,1st,623.94,623.57,0.04490273746332992,0.16838526548744617,0.16838526548744617,False,False
2026-01-09,short,res,T1 only,[1],Flat,0.097,2,2nd,623.94,623.3,0.11070110701106063,0.11070110701106063,0.11070110701106063,False,False
2026-01-09,short,res,T1 only,[1],Flat,0.097,3,3rd+,623.94,623.4,0.041706769329482016,0.041706769329482016,0.041706769329482016,False,False
2026-01-13,long,sup,T2+T3,"[2, 3]",Flat,0.003,1,1st,627.65,628.025,0.09951833127662116,0.09951833127662116,0.09951833127662116,False,False
2026-01-13,short,res,T1 only,[1],Flat,0.003,1,1st,629.45,628.14,0.3613844047505304,0.46964052599737827,0.6686407488776279,False,False
2026-01-15,long,sup,T1 only,[1],Gap Up,1.058,1,1st,624.69,625.18,0.20314149524938346,0.20314149524938346,0.23513228190281638,False,False
2026-01-15,long,sup,T1 only,[1],Gap Up,1.058,2,2nd,624.69,625.66,0.02077805837036017,0.11827510149282504,0.693667487133592,False,False
2026-01-15,long,sup,T1 only,[1],Gap Up,1.058,3,3rd+,624.69,625.18,0.23513228190281638,0.23513228190281638,0.7709779583480039,False,False
2026-01-15,long,sup,T1 only,[1],Gap Up,1.058,4,3rd+,624.69,625.49,0.7210347087883086,0.7210347087883086,0.7210347087883086,True,False
2026-01-15,long,sup,T1 only,[1],Gap Up,1.058,5,3rd+,624.69,625.91,0.17095109520538898,0.17095109520538898,0.17095109520538898,False,False
2026-01-15,short,res,T1 only,[1],Gap Up,1.058,1,1st,627.13,625.32,0.10554596046825333,0.11354186656432488,0.11354186656432488,False,False
2026-01-15,short,res,T1 only,[1],Gap Up,1.058,2,2nd,627.13,626.19,0.25231958351299777,0.25231958351299777,0.38806113160543343,False,False
2026-01-15,short,res,T1 only,[1],Gap Up,1.058,3,3rd+,627.13,625.98,0.2060768714655362,0.35464391833605347,0.35464391833605347,False,False
2026-01-15,short,res,T1 only,[1],Gap Up,1.058,4,3rd+,627.13,626.28,0.40237593408698696,0.40237593408698696,0.40237593408698696,False,False
2026-01-15,short,res,T1 only,[1],Gap Up,1.058,5,3rd+,627.13,625.31,0.03518254945545627,0.03518254945545627,0.03518254945545627,False,False
2026-01-15,short,res,T1 only,[1],Gap Up,1.058,6,3rd+,627.13,626.19,0.04950574106901406,0.09262364458072485,0.09262364458072485,False,False
2026-01-15,short,res,T1 only,[1],Gap Up,1.058,7,3rd+,627.13,626.14,0.08464560641389669,0.08464560641389669,0.10460919283226958,False,False
2026-01-15,short,res,T1 only,[1],Gap Up,1.058,8,3rd+,627.13,626.26,0.028742056015065624,0.028742056015065624,0.1852265832082471,False,False
2026-01-16,long,sup,T1+T3,"[1, 3]",Gap Up,0.623,1,1st,620.75,621.07,0.07728597420579073,0.07728597420579073,0.1352504548601475,False,False
2026-01-16,long,sup,T1+T3,"[1, 3]",Gap Up,0.623,2,2nd,620.75,621.705,0.04101623760465099,0.04101623760465099,0.04101623760465099,False,False
2026-01-21,long,sup,T1+T2+T3,"[1, 2, 3]",Flat,0.196,1,1st,607.64,608.57,0.4042263010006939,0.7312223737614295,1.150237441871929,True,False
2026-01-21,long,sup,T1+T2+T3,"[1, 2, 3]",Flat,0.196,2,2nd,607.64,608.01,0.6776204338744436,0.8239996052696488,1.2779395075738857,True,True
2026-01-21,short,res,T1 only,[1],Flat,0.196,1,1st,610.59,609.46,0.2619532044760922,0.2619532044760922,0.2619532044760922,False,False
2026-01-21,short,res,T1 only,[1],Flat,0.196,2,2nd,610.59,609.64,0.01804343547011575,0.01804343547011575,0.01804343547011575,False,False
2026-01-22,long,sup,T2 only,[2],Gap Up,0.926,1,1st,618.94,619.52,0.0726368801652966,0.0726368801652966,0.19208419421488485,False,False
2026-01-22,long,sup,T2 only,[2],Gap Up,0.926,2,2nd,618.94,619.88,0.13389688326773583,0.13389688326773583,0.2500483964638244,False,False
2026-01-22,long,sup,T2 only,[2],Gap Up,0.926,3,3rd+,618.94,619.91,0.06613863302738815,0.1855107999548285,0.2597151199367672,False,False
2026-01-22,long,sup,T2 only,[2],Gap Up,0.926,4,3rd+,618.94,619.91,0.20002903647303788,0.22904937813553328,0.2839121808004373,False,False
2026-01-22,short,res,T1 only,[1],Gap Up,0.926,1,1st,622.53,621.53,0.1576754138979644,0.1576754138979644,0.1576754138979644,False,False
2026-01-22,short,res,T1 only,[1],Gap Up,0.926,1,1st,620.42,619.29,0.24382760903615286,0.24382760903615286,0.24382760903615286,False,False
2026-01-22,short,res,T1 only,[1],Gap Up,0.926,2,2nd,620.42,619.19,0.20672168478174494,0.20672168478174494,0.20672168478174494,False,False
2026-01-23,long,sup,T1 only,[1],Flat,-0.147,1,1st,617.78,619.58,0.21595274218018096,0.4567610316666011,0.7020885115723408,False,False
2026-01-23,long,sup,T1+T3,"[1, 3]",Flat,-0.147,1,1st,619.15,620.65,0.28357367276242507,0.45275114799002,0.6912108273584271,False,False
2026-01-23,long,sup,T2+T3,"[2, 3]",Flat,-0.147,1,1st,620.56,621.56,0.30568247634984413,0.38853851599203254,0.6177842847030146,False,False
2026-01-23,long,sup,T2+T3,"[2, 3]",Flat,-0.147,2,2nd,620.56,621.9,0.25084418716836454,0.40360186525164676,0.5627753658144437,False,False
2026-01-23,short,res,T1+T3,"[1, 3]",Flat,-0.147,1,1st,620.78,619.81,0.18715412787789293,0.18715412787789293,0.18715412787789293,False,False
2026-01-23,short,res,T1+T3,"[1, 3]",Flat,-0.147,2,2nd,620.78,619.93,0.14356459600277233,0.14356459600277233,0.14356459600277233,False,False
2026-01-23,short,res,T1+T3,"[1, 3]",Flat,-0.147,3,3rd+,620.78,620.1999,0.06447921065450064,0.06447921065450064,0.06447921065450064,False,False
2026-01-27,long,sup,T1 only,[1],Gap Up,0.553,1,1st,629.03,629.91,0.18415329174010286,0.22066644441269173,0.27464240923306793,False,False
2026-01-27,short,res,T1 only,[1],Gap Up,0.553,1,1st,629.69,628.36,0.060474887007447235,0.060474887007447235,0.060474887007447235,False,False
2026-01-28,long,sup,T1 only,[1],Gap Up,0.705,1,1st,635.08,635.81,0.0896494235699423,0.0896494235699423,0.0896494235699423,False,False
2026-01-28,long,sup,T1 only,[1],Gap Up,0.705,2,2nd,635.08,636.11,0.009432330886158908,0.009432330886158908,0.009432330886158908,False,False
2026-01-28,short,res,T1 only,[1],Gap Up,0.705,1,1st,635.8,635.03,0.0755869801426733,0.20943892414530454,0.2834511755350069,False,False
