pnl,gross,costs,result
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
195.5,200.0,4.5,win
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
195.5,200.0,4.5,win
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
195.5,200.0,4.5,win
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
195.5,200.0,4.5,win
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
195.5,200.0,4.5,win
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
